machine,workers,walltime
scalc,20,63.87351608276367
scalc,20,65.36869144439697
scalc,20,65.39609336853027
scalc,20,61.37424349784851
scalc,20,62.15045952796936
scalc,20,61.06929087638855
scalc,20,61.385066986083984
scalc,20,62.2781662940979
scalc,20,62.765435457229614
scalc,20,60.94796395301819
scalc,20,60.73887014389038
scalc,20,60.38639783859253
scalc,20,61.17400074005127
scalc,20,60.77727746963501
scalc,20,61.73799157142639
scalc,20,60.761847734451294
scalc,20,60.96011734008789
scalc,20,61.92231369018555
scalc,20,65.07165789604187
scalc,20,63.42978000640869
scalc,20,58.72320771217346
scalc,20,56.38826298713684
scalc,20,57.31846737861633
scalc,20,57.74417448043823
scalc,20,55.273290395736694
