machine,workers,walltime
gcloud,2,550.613570690155
gcloud,2,554.8319501876831
gcloud,2,553.5226285457611
gcloud,2,556.2377626895905
gcloud,2,556.3450548648834
gcloud,2,562.2116394042969
gcloud,2,558.5764818191528
gcloud,2,561.2713975906372
gcloud,2,562.0096688270569
gcloud,2,561.4170496463776
gcloud,2,557.7133853435516
gcloud,2,554.9484252929688
gcloud,2,555.6194951534271
gcloud,2,551.9440548419952
gcloud,2,546.2621903419495
gcloud,2,547.4578914642334
gcloud,2,551.9968616962433
gcloud,2,552.5101075172424
gcloud,2,549.3577220439911
gcloud,2,552.5075509548187
gcloud,2,555.0776631832123
gcloud,2,558.6760957241058
gcloud,2,559.4945914745331
gcloud,2,563.56241106987
gcloud,2,560.4161241054535
gcloud,4,273.06216621398926
gcloud,4,272.51270151138306
gcloud,4,273.47137928009033
gcloud,4,274.3732488155365
gcloud,4,272.16542768478394
gcloud,4,274.3662874698639
gcloud,4,273.1574077606201
gcloud,4,272.01922059059143
gcloud,4,271.65533423423767
gcloud,4,271.088232755661
gcloud,4,273.8241364955902
gcloud,4,272.76824259757996
gcloud,4,273.26267671585083
gcloud,4,272.8746876716614
gcloud,4,271.12965536117554
gcloud,4,271.7171537876129
gcloud,4,272.5653910636902
gcloud,4,271.3181748390198
gcloud,4,272.1469929218292
gcloud,4,271.56087017059326
gcloud,4,273.2862536907196
gcloud,4,273.0580863952637
gcloud,4,274.2085282802582
gcloud,4,273.80413269996643
gcloud,4,274.90141344070435
gcloud,6,185.24870324134827
gcloud,6,184.63712787628174
gcloud,6,185.5093388557434
gcloud,6,185.22137236595154
gcloud,6,185.75989770889282
gcloud,6,186.0929982662201
gcloud,6,185.0174696445465
gcloud,6,184.49596858024597
gcloud,6,185.83039331436157
gcloud,6,185.4288821220398
gcloud,6,184.2030999660492
gcloud,6,185.37445497512817
gcloud,6,184.8899748325348
gcloud,6,184.97330451011658
gcloud,6,186.6528663635254
gcloud,6,184.80816173553467
gcloud,6,184.34393548965454
gcloud,6,183.76281595230103
gcloud,6,183.88342356681824
gcloud,6,185.58994436264038
gcloud,6,184.71560621261597
gcloud,6,184.05989265441895
gcloud,6,184.6897075176239
gcloud,6,184.84384775161743
gcloud,6,184.59816098213196
gcloud,8,137.71131801605225
gcloud,8,137.07925724983215
gcloud,8,137.49339127540588
gcloud,8,138.9069013595581
gcloud,8,138.1302306652069
gcloud,8,137.44557571411133
gcloud,8,137.22034430503845
gcloud,8,137.84288430213928
gcloud,8,137.11590003967285
gcloud,8,136.76365208625793
gcloud,8,137.22870063781738
gcloud,8,137.80121302604675
gcloud,8,138.79475665092468
gcloud,8,137.40043878555298
gcloud,8,137.19593214988708
gcloud,8,136.8534917831421
gcloud,8,137.46224236488342
gcloud,8,138.2953200340271
gcloud,8,137.17590475082397
gcloud,8,138.02145385742188
gcloud,8,136.97897171974182
gcloud,8,137.70520496368408
gcloud,8,136.85855174064636
gcloud,8,138.07881569862366
gcloud,8,138.91933369636536
gcloud,10,111.23705244064331
gcloud,10,111.59523892402649
gcloud,10,111.7527208328247
gcloud,10,112.7923526763916
gcloud,10,113.65376019477844
gcloud,10,112.1342658996582
gcloud,10,111.2928192615509
gcloud,10,111.62148809432983
gcloud,10,111.06472635269165
gcloud,10,112.0385754108429
gcloud,10,112.4554271697998
gcloud,10,112.75917458534241
gcloud,10,111.57546210289001
gcloud,10,111.8435001373291
gcloud,10,112.74479365348816
gcloud,10,112.11266303062439
gcloud,10,111.37370896339417
gcloud,10,113.60921144485474
gcloud,10,113.56053113937378
gcloud,10,112.19822549819946
gcloud,10,112.7251935005188
gcloud,10,112.51404404640198
gcloud,10,112.3616099357605
gcloud,10,113.32797718048096
gcloud,10,111.94905400276184
