machine,workers,walltime
gcloud,20,59.05089282989502
gcloud,20,58.74365496635437
gcloud,20,58.17785453796387
gcloud,20,58.116536378860474
gcloud,20,57.77252531051636
gcloud,20,58.620890617370605
gcloud,20,58.33481001853943
gcloud,20,58.82976984977722
gcloud,20,58.127159118652344
gcloud,20,58.0264196395874
gcloud,20,58.386308431625366
gcloud,20,58.25758361816406
gcloud,20,58.665366888046265
gcloud,20,58.910948753356934
gcloud,20,58.829326152801514
gcloud,20,58.3758909702301
gcloud,20,58.42451453208923
gcloud,20,58.83360505104065
gcloud,20,59.187512159347534
gcloud,20,58.16724991798401
gcloud,20,59.199742794036865
gcloud,20,58.65104627609253
gcloud,20,58.714942932128906
gcloud,20,58.06087803840637
gcloud,20,58.81966686248779
gcloud,40,33.05393028259277
gcloud,40,33.33234405517578
gcloud,40,33.14924764633179
gcloud,40,33.24704313278198
gcloud,40,33.93797469139099
gcloud,40,33.3925883769989
gcloud,40,33.88761758804321
gcloud,40,33.584059953689575
gcloud,40,33.70603799819946
gcloud,40,33.16114330291748
gcloud,40,33.79998207092285
gcloud,40,34.00136375427246
gcloud,40,33.45953679084778
gcloud,40,33.11406922340393
gcloud,40,34.253010511398315
gcloud,40,33.27004075050354
gcloud,40,32.77802133560181
gcloud,40,33.71361446380615
gcloud,40,33.52097511291504
gcloud,40,34.13083338737488
gcloud,40,33.740984201431274
gcloud,40,34.51430916786194
gcloud,40,33.19382166862488
gcloud,40,32.962605237960815
gcloud,40,34.37338829040527
gcloud,60,27.829979181289673
gcloud,60,28.464903354644775
gcloud,60,27.527689456939697
gcloud,60,25.905084133148193
gcloud,60,25.98020100593567
gcloud,60,28.213322401046753
gcloud,60,26.507960081100464
gcloud,60,25.769670009613037
gcloud,60,26.05478858947754
gcloud,60,25.867863178253174
gcloud,60,29.05524516105652
gcloud,60,27.35446000099182
gcloud,60,26.950122117996216
gcloud,60,26.355842351913452
gcloud,60,27.055935621261597
gcloud,60,28.36316680908203
gcloud,60,27.16522765159607
gcloud,60,28.968929290771484
gcloud,60,29.269153356552124
gcloud,60,29.18940567970276
gcloud,60,29.09542965888977
gcloud,60,28.077404260635376
gcloud,60,27.566717386245728
gcloud,60,30.046101570129395
gcloud,60,28.198842525482178
